"id";"category";"message";"location";"hash"
156;"app";"Чекбокс";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
157;"app";"Радиокнопка";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
158;"app";"Список";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
159;"app";"Список с мультивыбором";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
160;"app";"Цена";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
161;"app";"Дата";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
162;"app";"Диапазон дат";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
163;"app";"Эл. почта";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
164;"app";"Ссылка";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
165;"app";"Страница соц. сети";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
166;"app";"Видео YouTube";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
167;"app";"Файл";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
168;"app";"Несколько файлов";"[""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
169;"app";"Разрешение";"[""common/models/extend/AuthItemExtend.php"",""common/models/extend/AuthItemExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
170;"app";"Авторизованный пользователь";"[""common/models/extend/DocumentExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
171;"app";"Все пользователи";"[""common/models/extend/DocumentExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
172;"app";"Гости";"[""common/models/extend/DocumentExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
173;"app";"Не подтвержден";"[""common/models/extend/DocumentExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
174;"app";"Опубликован";"[""common/models/extend/DocumentExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
175;"app";"Заблокирован";"[""common/models/extend/DocumentExtend.php"",""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
176;"app";"Активен";"[""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
177;"app";"Не активен";"[""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
178;"app";"Мужской";"[""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
179;"app";"Женский";"[""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
180;"app";"Поиск по токену не поддерживается.";"[""common/models/extend/UserExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
181;"app";"Язык перевода";"[""common/models/Message.php""]";"bbbf1a6213b26440ece96aae93030f3d"
182;"app";"Перевод";"[""common/models/Message.php""]";"bbbf1a6213b26440ece96aae93030f3d"
183;"app";"Хеш перевода";"[""common/models/Message.php""]";"bbbf1a6213b26440ece96aae93030f3d"
184;"app";"Это имя уже используется в данной папке.";"[""common/components/validators/DocumentNameValidator.php""]";"bbbf1a6213b26440ece96aae93030f3d"
185;"app";"Дополнительные поля должны являться массивом.";"[""common/components/validators/DocumentArrayValidator.php""]";"bbbf1a6213b26440ece96aae93030f3d"
186;"app";"Этот маршрут уже используется в данной папке.";"[""common/components/validators/DocumentRouteValidator.php""]";"bbbf1a6213b26440ece96aae93030f3d"
187;"app";"Этот алиас уже используется в данной папке.";"[""common/components/validators/DocumentAliasValidator.php""]";"bbbf1a6213b26440ece96aae93030f3d"
188;"app";"Здравствуйте";"[""common/mail/password-reset-token.php"",""common/mail/confirm-email.php""]";"bbbf1a6213b26440ece96aae93030f3d"
189;"app";"Перейдите по ссылке ниже, чтобы сбросить ваш пароль";"[""common/mail/password-reset-token.php""]";"bbbf1a6213b26440ece96aae93030f3d"
